owner,title,sector,ownership,description,associations,link,status,model_development,address,city,country,region,project_start,project_end
Agder," KI-prosjekt innenfor tannhelse, særlig OCR av røntgen og mer behovsdrevet innkallinger",Helse & omsorg,Informasjon mangler," KI-prosjekt innenfor tannhelse, særlig OCR av røntgen og mer behovsdrevet innkallinger.",Informasjon mangler,Informasjon mangler,"""Ser på muligheter for""",Informasjon mangler,Informasjon mangler,Agder,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Agder,Agderskolen - chatGPT modell etter randaberg i samarbeid med 15 kommuner,Oppvekst & utdanning,Informasjon mangler,Agderskolen - chatGPT modell etter randaberg i samarbeid med 15 kommuner,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Agder,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Asker,ChatGPT i Askerskolen basert på Randaberg,Oppvekst & utdanning,Informasjon mangler,ChatGPT i Askerskolen basert på Randaberg,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Asker,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Asker,Bruk av generativ AI i kommuneplaner,Tverrsektoriell,Informasjon mangler,Bruk av generativ AI i kommuneplaner,Informasjon mangler,Informasjon mangler,Oppleves som et prosjekt i tidlig stadie ,Informasjon mangler,Informasjon mangler,Asker,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,"Kontroll av avløpsnettet ved hjelp av kunstig intelligens, maskinlæringsmodell for pumpestasjoner og renseanlegg","Bygg, plan & teknisk",Informasjon mangler,"Kontroll av avløpsnettet ved hjelp av kunstig intelligens, maskinlæringsmodell for pumpestasjoner og renseanlegg",Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,Bruk av elektronisk ruteplanlegger med AI for hjemme-tjenesten,Helse & omsorg,Informasjon mangler,Bruk av elektronisk ruteplanlegger med AI for hjemme-tjenesten,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,1000 Bygg der man vurderer bruk av kunstig intelligens,"Bygg, plan & teknisk",Informasjon mangler,1000 Bygg der man vurderer bruk av kunstig intelligens. Det undersøkes hvorvidt en samarbeidspartner til systemleverandøren GK kan bidra med trening av modell.,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,Kokeanbefaling: Beregninger av konsekvenser ved brudd,"Bygg, plan & teknisk",Informasjon mangler,Kokeanbefaling: Beregninger av konsekvenser ved brudd. Beregne trykk og beregne et polygon for berørte abonnementer basert på ledningsnett.,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,"Predikere brudd/lekkasjer: Bruker beskaffenheten av ledningsnett, kombinert med trykkdata(mengde) samt data fra Scada-system(driftssystem) for å kunne gjette svake punkter, og predikere lekkasjepunkter","Bygg, plan & teknisk",Informasjon mangler,"Predikere brudd/lekkasjer: Bruker beskaffenheten av ledningsnett, kombinert med trykkdata(mengde) samt data fra Scada-system(driftssystem) for å kunne gjette svake punkter, og predikere lekkasjepunkter. (Neural network)",Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,Avløpsrens : Bruker AI for å planlegge serviceintervaller på pumper og annet mekanisk utstyr,"Bygg, plan & teknisk",Informasjon mangler,Avløpsrens : Bruker AI for å planlegge serviceintervaller på pumper og annet mekanisk utstyr.,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,Digifrid (RPA) som har automatisert en del prosesser basert på regler bl,Tverrsektoriell,Informasjon mangler,Digifrid (RPA) som har automatisert en del prosesser basert på regler bl.a. for eierskiftefaktura og fordeling av meldinger mellom helsetjenestene.,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,"Energisparing bruker maskinlæring for å lære ledningsnett, bruksmønster og kombinere dette med f","Bygg, plan & teknisk",Informasjon mangler,"Energisparing bruker maskinlæring for å lære ledningsnett, bruksmønster og kombinere dette med f.eks værdata og strømpriser for å velge riktig tidspunkt for å starte en pumpe, fylle et bassen, produsere strøm etc.",Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,Etat for Boligforvaltning bruker GitHub Copilot som programmeringsstøtte i utvikling av Portico og ChatGPT som inspirasjon og hjelp til problemløsning av tekniske spørsmål,"Bygg, plan & teknisk",Informasjon mangler,Etat for Boligforvaltning bruker GitHub Copilot som programmeringsstøtte i utvikling av Portico og ChatGPT som inspirasjon og hjelp til problemløsning av tekniske spørsmål.,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,ChatGPT versjon for lærer og elever,Oppvekst & utdanning,Informasjon mangler,ChatGPT versjon for lærer og elever,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bærum,Maskinlæring for automatisk kartlegging av kommunal FKB og temadata basert på laser- og hyperspektrale data,"Bygg, plan & teknisk",Informasjon mangler,Maskinlæring for automatisk kartlegging av kommunal FKB og temadata basert på laser- og hyperspektrale data,Informasjon mangler,Informasjon mangler,Eldre prosjekt fra 2018,Informasjon mangler,Informasjon mangler,Bærum,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Drammen,ChatGPT utfira Randbergmodellen,Oppvekst & utdanning,Informasjon mangler,ChatGPT utfira Randbergmodellen,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Drammen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Enebakk,ChatGPT i Enebakk-skolene basert på Randabergmodellen,Oppvekst & utdanning,Informasjon mangler,ChatGPT i Enebakk-skolene basert på Randabergmodellen,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Enebakk,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Enebakk,"Initiativer innen kart og eiendom, dokumentbehandling og bruk av generativ KI innen HR",Tverrsektoriell,Informasjon mangler,"Initiativer innen kart og eiendom, dokumentbehandling og bruk av generativ KI innen HR",Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Enebakk,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Flekkefjord,"«Enklere tilgang på informasjon», der de søkte etter en løsning som kan gjøre det enklere for familiene til alvorlig syke barn å finne frem i jungelen av informasjon som ligger spredt på et stort antall nettsider",Helse & omsorg,Informasjon mangler,"«Enklere tilgang på informasjon», der de søkte etter en løsning som kan gjøre det enklere for familiene til alvorlig syke barn å finne frem i jungelen av informasjon som ligger spredt på et stort antall nettsider. De har nå satt i gang utviklingen av en minimumsløsning (MVP) som vil kunne presentere all relevant  informasjon familiene trenger på ett sted. Løsningen vil bruke språkmodeller og annen teknologi i kombinasjon for å kunne samle informasjon fra en rekke ulike kilder tilpasset en gitt kontekst.",Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Flekkefjord,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Gjerdrum,KI i turnusplanlegging,Helse & omsorg,Informasjon mangler,KI i turnusplanlegging,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Gjerdrum,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Gjerdrum,Robotisert postmottak,Tverrsektoriell,Informasjon mangler,Robotisert postmottak,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Gjerdrum,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Gjesdal,KI til varsel om glatte veier for å kunne strø/salte ved behov,"Bygg, plan & teknisk",Informasjon mangler,KI til varsel om glatte veier for å kunne strø/salte ved behov,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Gjesdal,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Gjøvik,Intelligent ruteplanlegging i hjemmetjenesten,Helse & omsorg,Informasjon mangler,Intelligent ruteplanlegging i hjemmetjenesten,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Gjøvik,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Gjøvik,RPA-pilot fakturabehandling,Tverrsektoriell,Informasjon mangler,RPA-pilot fakturabehandling,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Gjøvik,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Gjøvik,"""Sikker"" ChatGPT for kommuneansatte og elever i grunnskolen",Oppvekst & utdanning,Informasjon mangler,"""Sikker"" ChatGPT for kommuneansatte og elever i grunnskolen",Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Gjøvik,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Halden,"Airmont, som leverer sensorer som skal installeres i piper i eiendommer i Halden, benytter kunstig intelligens for å finne fyringsmønster og dermed behov for feiing i den enkelte bolig","Bygg, plan & teknisk",Informasjon mangler,"Airmont, som leverer sensorer som skal installeres i piper i eiendommer i Halden, benytter kunstig intelligens for å finne fyringsmønster og dermed behov for feiing i den enkelte bolig.",Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Halden,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Halden,Kommunen benytter kamera med kunstig intelligens for å telle hvor mange biler som til en hver tid er parkert på torget i byen og hvor bilene er plassert,"Bygg, plan & teknisk",Informasjon mangler,Kommunen benytter kamera med kunstig intelligens for å telle hvor mange biler som til en hver tid er parkert på torget i byen og hvor bilene er plassert. Statistikken benyttes som grunnlag i byutvikling,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Halden,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Halden,Halden kommune benytter «Symptomsjekker» som er et verktøy for å utelukke eller bekrefte sannsynligheten for en diagnose,Helse & omsorg,Informasjon mangler,Halden kommune benytter «Symptomsjekker» som er et verktøy for å utelukke eller bekrefte sannsynligheten for en diagnose. Systemet benytter kunstig intelligens og er et bidrag til mer effektive og presise diagnose rapporter. Systemet har blant annet blitt benyttet på flyktninger.,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Halden,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Halden,Kommunen har sammen med blant annet Høgskolen i Østfold og Hypatia Learning AS et prosjekt med navnet «Kunstig intelligens for vurdering for læring for å styrke læring og undervisning i det 21,Oppvekst & utdanning,Informasjon mangler,Kommunen har sammen med blant annet Høgskolen i Østfold og Hypatia Learning AS et prosjekt med navnet «Kunstig intelligens for vurdering for læring for å styrke læring og undervisning i det 21. århundre,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Halden,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Halden,Bildeling mellom ansatte og innbyggere - bruke KI til å optimalisere bilparken og dele biler,"Bygg, plan & teknisk",Informasjon mangler,Bildeling mellom ansatte og innbyggere - bruke KI til å optimalisere bilparken og dele biler,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Halden,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Halden,Analyse av sensordata ved tømming av søppelkontainere,"Bygg, plan & teknisk",Informasjon mangler,Analyse av sensordata ved tømming av søppelkontainere,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Halden,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Halden,Kart tilpasset funksjonshemmede i kommunale bygg med bruk av KI,"Bygg, plan & teknisk",Informasjon mangler,Kart tilpasset funksjonshemmede i kommunale bygg med bruk av KI,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Halden,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Hamar,Bruk av vannmåler for KI analyse av de som får pleiebehandling som har et unormalt vannforbruk for oppfølging av disse,"Bygg, plan & teknisk",Informasjon mangler,Bruk av vannmåler for KI analyse av de som får pleiebehandling som har et unormalt vannforbruk for oppfølging av disse,Informasjon mangler,Informasjon mangler,Usikker på status,Informasjon mangler,Informasjon mangler,Hamar,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Harstad,ChatGPT i skolen basert på Randaberg-løsningen,Oppvekst & utdanning,Informasjon mangler,ChatGPT i skolen basert på Randaberg-løsningen,Informasjon mangler,Informasjon mangler,"""Planlegger oppstart""",Informasjon mangler,Informasjon mangler,Harstad,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Kristiansand,KartAI - effektvisering av byggesaker med KI,"Bygg, plan & teknisk",Informasjon mangler,KartAI - effektvisering av byggesaker med KI,Informasjon mangler,Informasjon mangler,Pilot,Informasjon mangler,Informasjon mangler,Kristiansand,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Kvam,En gjennomgang av bruk av ChatGPT i skolen,Oppvekst & utdanning,Informasjon mangler,En gjennomgang av bruk av ChatGPT i skolen,Informasjon mangler,Informasjon mangler,Oppleves som lav modenhet,Informasjon mangler,Informasjon mangler,Kvam,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Lillestrøm,Bruk av kunstig intelligens for bedre kontroll av informasjon i inn- og utgående dokumenter,Tverrsektoriell,Informasjon mangler,Bruk av kunstig intelligens for bedre kontroll av informasjon i inn- og utgående dokumenter,Informasjon mangler,Informasjon mangler,Pilot,Informasjon mangler,Informasjon mangler,Lillestrøm,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Lillestrøm,ChatGPT utfira Randbergmodellen,Oppvekst & utdanning,Informasjon mangler,ChatGPT utfira Randbergmodellen,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Lillestrøm,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Lørenskog,KI-løsning innen fakturering,Tverrsektoriell,Informasjon mangler,KI-løsning innen fakturering,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Lørenskog,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Lørenskog,KI-løsning med søknad til barnehage,Oppvekst & utdanning,Informasjon mangler,KI-løsning med søknad til barnehage,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Lørenskog,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Midt-Telemark,Ruteplanlegging i hjemmestjenesten,Helse & omsorg,Informasjon mangler,Ruteplanlegging i hjemmestjenesten,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Midt-Telemark,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Molde,Barnehageopptak,Oppvekst & utdanning,Informasjon mangler,Barnehageopptak,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Molde,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Møre og Romsdal,"Samferdsel har gående et prosjekt med bildeanalyse av vei/rekkverk, slik at KI vurderer hvor det bør gjøres utbedringer","Bygg, plan & teknisk",Informasjon mangler,"Samferdsel har gående et prosjekt med bildeanalyse av vei/rekkverk, slik at KI vurderer hvor det bør gjøres utbedringer",Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Møre og Romsdal,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Møre og Romsdal,NDLA sin ChatGPT-løsning,Oppvekst & utdanning,Informasjon mangler,NDLA sin ChatGPT-løsning,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Møre og Romsdal,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Møre og Romsdal,Utrulling av praterobot i alle videregående skoler,Oppvekst & utdanning,Informasjon mangler,Utrulling av praterobot i alle videregående skoler,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Møre og Romsdal,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
